'that', 'political' | In regular: 0 | In spam: 1
'offsetwidth', 'write' | In regular: 0 | In spam: 1
'hayman', 'subhojit' | In regular: 1 | In spam: 0
'broadcast', 'delayed' | In regular: 1 | In spam: 0
'possession', 'him' | In regular: 0 | In spam: 1
'came', 'across' | In regular: 1 | In spam: 0
'american', 'players' | In regular: 0 | In spam: 1
'this', 'myurl' | In regular: 0 | In spam: 1
'several', 'they' | In regular: 0 | In spam: 1
'email', 'alias' | In regular: 3 | In spam: 0
'activity', 'sunday' | In regular: 1 | In spam: 0
'this', 'image' | In regular: 0 | In spam: 1
'document', 'color' | In regular: 0 | In spam: 2
'equally', 'join' | In regular: 0 | In spam: 1
'proportionately', 'larger' | In regular: 0 | In spam: 1
'and', 'read' | In regular: 0 | In spam: 1
'false', 'shopping' | In regular: 0 | In spam: 1
'earl', 'elke' | In regular: 1 | In spam: 0
'conditions', 'submitting' | In regular: 0 | In spam: 1
'olympics', 'robust' | In regular: 2 | In spam: 0
'scanning', 'printing' | In regular: 1 | In spam: 0
'register', 'november' | In regular: 1 | In spam: 0
'menghwa', 'emherntuedusg' | In regular: 1 | In spam: 0
'page', 'return' | In regular: 0 | In spam: 1
'posterdemonstraties', 'wintercongres' | In regular: 1 | In spam: 0
'ncaa', 'auburn' | In regular: 0 | In spam: 1
'least', 'even' | In regular: 0 | In spam: 1
'yours', 'special' | In regular: 0 | In spam: 1
'arrowon', 'audio' | In regular: 0 | In spam: 1
'behaviour', 'dutch' | In regular: 1 | In spam: 0
'panel', 'with' | In regular: 0 | In spam: 1
'saturday', 'gust' | In regular: 0 | In spam: 1
'downhill', 'work' | In regular: 0 | In spam: 1
'airugnl', 'psyxairugnl' | In regular: 4 | In spam: 0
'microglia', 'from' | In regular: 1 | In spam: 0
'math', 'verdana' | In regular: 0 | In spam: 1
'mungrohotmailcom', 'jacqueswehotmailcom' | In regular: 0 | In spam: 1
'believed', 'reliable' | In regular: 0 | In spam: 1
'region', 'where' | In regular: 0 | In spam: 1
'qualifications', 'available' | In regular: 0 | In spam: 1
'edition', 'bedie' | In regular: 0 | In spam: 1
'information', 'flowing' | In regular: 1 | In spam: 0
'herabfont', 'colorffffffrandomizefontpa' | In regular: 0 | In spam: 1
'examples', 'that' | In regular: 0 | In spam: 1
'jacquieperryhotmailcom', 'dvalmoriahotmailcom' | In regular: 0 | In spam: 1
'color', 'receive' | In regular: 0 | In spam: 1
'ronald', 'krdregistration' | In regular: 0 | In spam: 1
'also', 'that' | In regular: 0 | In spam: 1
'lardi', 'maryse' | In regular: 1 | In spam: 0
'dine', 'specially' | In regular: 2 | In spam: 0
'position', 'belgium' | In regular: 2 | In spam: 0
'keep', 'forgetting' | In regular: 0 | In spam: 1
'fyarsmxxqj', 'bxlk' | In regular: 0 | In spam: 1
'window', 'reprint' | In regular: 0 | In spam: 1
'curcookie', 'care' | In regular: 0 | In spam: 1
'esmtp', 'haqeqdoj' | In regular: 1 | In spam: 0
'through', 'cyper' | In regular: 0 | In spam: 1
'procedures', 'haven' | In regular: 0 | In spam: 1
'today', 'days' | In regular: 0 | In spam: 1
'ieee', 'transactions' | In regular: 2 | In spam: 0
'material', 'covered' | In regular: 1 | In spam: 0
'pros', 'none' | In regular: 0 | In spam: 1
'antwerp', 'biomedical' | In regular: 2 | In spam: 0
'know', 'httpcareersieeeorg' | In regular: 1 | In spam: 0
'during', 'body' | In regular: 0 | In spam: 1
'have', 'famous' | In regular: 1 | In spam: 0
'more', 'work' | In regular: 0 | In spam: 1
'kohonens', 'self' | In regular: 1 | In spam: 0
'effort', 'crane' | In regular: 0 | In spam: 1
'alan', 'shepard' | In regular: 2 | In spam: 0
'nssrc', 'about' | In regular: 0 | In spam: 1
'color', 'lawyers' | In regular: 0 | In spam: 1
'classifieds', 'open' | In regular: 0 | In spam: 1
'function', 'long' | In regular: 0 | In spam: 1
'kobayashi', 'yoko' | In regular: 1 | In spam: 0
'this', 'real' | In regular: 0 | In spam: 1
'have', 'equipped' | In regular: 0 | In spam: 1
'distance', 'bill' | In regular: 0 | In spam: 1
'soften', 'high' | In regular: 0 | In spam: 1
'eval', 'round' | In regular: 0 | In spam: 1
'banachspaceshotmailcom', 'frederick' | In regular: 0 | In spam: 1
'auditory', 'significant' | In regular: 1 | In spam: 0
'conference', 'focus' | In regular: 1 | In spam: 0
'getinlineleft', 'else' | In regular: 0 | In spam: 1
'owned', 'death' | In regular: 0 | In spam: 1
'browsers', 'jacobson' | In regular: 0 | In spam: 1
'columnists', 'audio' | In regular: 0 | In spam: 1
'image', 'representation' | In regular: 1 | In spam: 0
'http', 'software' | In regular: 0 | In spam: 1
'kappaopioid', 'receptor' | In regular: 1 | In spam: 0
'hope', 'coming' | In regular: 1 | In spam: 0
'some', 'great' | In regular: 0 | In spam: 4
'human', 'hippocampus' | In regular: 1 | In spam: 0
'pregame', 'classname' | In regular: 0 | In spam: 1
'political', 'enter' | In regular: 0 | In spam: 1
'dvalleehotmailcom', 'vickyhotmailcom' | In regular: 0 | In spam: 1
'prevent', 'such' | In regular: 0 | In spam: 1
'hunkers', 'medical' | In regular: 0 | In spam: 1
'else', 'this' | In regular: 0 | In spam: 2
'children', 'have' | In regular: 0 | In spam: 1
'resizefix', 'resizefix' | In regular: 0 | In spam: 2
'pack', 'cassette' | In regular: 0 | In spam: 1
'mara', 'stephenson' | In regular: 0 | In spam: 1
'reel', 'tape' | In regular: 0 | In spam: 1
'neurofederatie', 'gboernihknawnl' | In regular: 1 | In spam: 0
'pets', 'assume' | In regular: 0 | In spam: 1
'sunday', 'rd' | In regular: 1 | In spam: 0
'enquirer', 'style' | In regular: 0 | In spam: 1
'newsletter', 'text' | In regular: 0 | In spam: 1
'have', 'militia' | In regular: 0 | In spam: 1
'styles', 'businessman' | In regular: 0 | In spam: 1
'maxdelbrueckcentrum', 'fuer' | In regular: 1 | In spam: 0
'history', 'days' | In regular: 0 | In spam: 1
'held', 'sunday' | In regular: 1 | In spam: 0
'jllttj', '' | In regular: 0 | In spam: 1
'christian', 'elger' | In regular: 2 | In spam: 0
'yearold', 'animation' | In regular: 0 | In spam: 1
'country', 'being' | In regular: 0 | In spam: 1
'taking', 'embedded' | In regular: 0 | In spam: 1
'such', 'to' | In regular: 0 | In spam: 1
'her', 'since' | In regular: 0 | In spam: 1
'return', 'variety' | In regular: 0 | In spam: 1
'into', 'clear' | In regular: 1 | In spam: 0
'leleyhotmailcom', 'teelepehotmailcom' | In regular: 0 | In spam: 1
'function', 'color' | In regular: 0 | In spam: 1
'something', 'unidentified' | In regular: 0 | In spam: 1
'alta', 'hrefautoclassxprogramhtml' | In regular: 1 | In spam: 0
'somali', 'congo' | In regular: 0 | In spam: 1
'ever', 'today' | In regular: 0 | In spam: 1
'desirable', 'lps' | In regular: 0 | In spam: 1
'document', 'said' | In regular: 0 | In spam: 1
'photos', 'bold' | In regular: 0 | In spam: 1
'unavailable', 'edition' | In regular: 0 | In spam: 1
'stages', 'planning' | In regular: 0 | In spam: 1
'anicampanihotmailcom', 'mbulacuhotmailcom' | In regular: 0 | In spam: 1
'conference', 'site' | In regular: 1 | In spam: 0
'http', 'event' | In regular: 0 | In spam: 1
'hrefhttpnssdcgsfcnasagovcdromsetbdirashtmlherea', 'more' | In regular: 1 | In spam: 0
'these', 'resent' | In regular: 0 | In spam: 1
'effect', 'weaker' | In regular: 0 | In spam: 1
'stores', 'image' | In regular: 0 | In spam: 1
'commitment', 'letter' | In regular: 0 | In spam: 1
'great', 'news' | In regular: 0 | In spam: 4
'guide', 'should' | In regular: 0 | In spam: 1
'adiframe', 'clrover' | In regular: 0 | In spam: 2
'with', 'hand' | In regular: 0 | In spam: 1
'height', 'tagname' | In regular: 0 | In spam: 1
'resignation', 'office' | In regular: 0 | In spam: 1
'location', 'creative' | In regular: 0 | In spam: 1
'existence', 'own' | In regular: 0 | In spam: 1
'called', 'micromodules' | In regular: 0 | In spam: 1
'superior', 'colliculus' | In regular: 1 | In spam: 0
'restoration', 'segmentation' | In regular: 1 | In spam: 0
'mbulakhotmailcom', 'araceli' | In regular: 0 | In spam: 1
'there', 'pcts' | In regular: 0 | In spam: 1
'point', 'datemode' | In regular: 0 | In spam: 1
'books', 'some' | In regular: 0 | In spam: 1
'superhydrating', 'formula' | In regular: 0 | In spam: 2
'offsetparent', 'onresize' | In regular: 0 | In spam: 1
'partial', 'getelementbyid' | In regular: 0 | In spam: 1
'your', 'goodselves' | In regular: 1 | In spam: 0
'started', 'write' | In regular: 0 | In spam: 1
'visibility', 'said' | In regular: 0 | In spam: 1
'getinlineleft', 'browser' | In regular: 0 | In spam: 1
'cookie', 'this' | In regular: 0 | In spam: 1
'first', 'reported' | In regular: 1 | In spam: 0
'alt', 'hrefautoclassprogresshtmlfuturebfuture' | In regular: 1 | In spam: 0
'police', 'found' | In regular: 0 | In spam: 1
'size', 'facecourier' | In regular: 1 | In spam: 0
'hippocampal', 'gabab' | In regular: 1 | In spam: 0
'from', 'previous' | In regular: 0 | In spam: 1
'praise', 'want' | In regular: 2 | In spam: 0
'rights', 'images' | In regular: 0 | In spam: 1
'bekkering', 'katholieke' | In regular: 1 | In spam: 0
'france', 'lyon' | In regular: 1 | In spam: 0
'falling', 'submit' | In regular: 0 | In spam: 1
'index', 'return' | In regular: 0 | In spam: 1
'limitedtimeonly', '' | In regular: 0 | In spam: 1
'bigger', 'cars' | In regular: 0 | In spam: 1
'positioning', 'business' | In regular: 0 | In spam: 1
'palaradhotmailcom', 'smilealinahotmailcom' | In regular: 0 | In spam: 1
'they', 'consider' | In regular: 0 | In spam: 1
'richard', 'hidesyntax' | In regular: 0 | In spam: 1
'neurology', 'university' | In regular: 1 | In spam: 0
'ralph', 'whispered' | In regular: 0 | In spam: 1
'width', 'gdkpixbufgetwidth' | In regular: 1 | In spam: 0
'serif', 'champion' | In regular: 0 | In spam: 1
'astrocytes', 'adult' | In regular: 1 | In spam: 0
'amygdala', 'negative' | In regular: 1 | In spam: 0
'janczak', 'ftcqzzrosemebloomhglcom' | In regular: 0 | In spam: 1
'board', 'none' | In regular: 0 | In spam: 1
'maduna', 'about' | In regular: 0 | In spam: 1
'your', 'mixed' | In regular: 0 | In spam: 1
'widebrfont', 'colorfffffftaxiingpraisersterrifiesfontbfontbbr' | In regular: 0 | In spam: 1
'debbiedotyhotmailcom', 'ayeshahotmailcom' | In regular: 0 | In spam: 1
'perez', 'xavier' | In regular: 1 | In spam: 0
'some', 'companionship' | In regular: 0 | In spam: 1
'like', 'family' | In regular: 0 | In spam: 1
'this', 'presidential' | In regular: 0 | In spam: 1
'layername', 'guide' | In regular: 0 | In spam: 1
'remembered', 'where' | In regular: 0 | In spam: 1
'check', 'brain' | In regular: 0 | In spam: 1
'where', 'does' | In regular: 1 | In spam: 0
'quoted', 'yang' | In regular: 2 | In spam: 0
'ebiz', 'searchex' | In regular: 0 | In spam: 1
'popup', 'directions' | In regular: 0 | In spam: 1
'wasnt', 'that' | In regular: 0 | In spam: 1
'didnt', 'give' | In regular: 0 | In spam: 1
'expands', 'demand' | In regular: 0 | In spam: 1
'this', 'toward' | In regular: 0 | In spam: 1
'identify', 'birds' | In regular: 0 | In spam: 2
'ramsaywhotmailcom', 'sshaiderhotmailcom' | In regular: 0 | In spam: 1
'project', 'description' | In regular: 1 | In spam: 0
'bodys', 'core' | In regular: 0 | In spam: 1
'eval', 'hokies' | In regular: 0 | In spam: 1
'fiction', 'ebiz' | In regular: 0 | In spam: 1
'bbcshop', 'standard' | In regular: 0 | In spam: 1
'from', 'accredited' | In regular: 0 | In spam: 7
'russian', 'cosmonaut' | In regular: 1 | In spam: 0
'from', 'lovie' | In regular: 0 | In spam: 1
'able', 'ready' | In regular: 0 | In spam: 1
'textfont', 'colorbendorsed' | In regular: 0 | In spam: 2
'students', 'have' | In regular: 1 | In spam: 0
'original', 'perrault' | In regular: 0 | In spam: 1
'czech', 'republic' | In regular: 2 | In spam: 0
'smtp', 'kaa' | In regular: 0 | In spam: 1
'style', 'ssite' | In regular: 0 | In spam: 1
'coast', 'have' | In regular: 0 | In spam: 1
'opponents', 'political' | In regular: 0 | In spam: 1
'idkk', 'hvnzfbsv' | In regular: 0 | In spam: 1
'else', 'outcome' | In regular: 0 | In spam: 1
'ssite', 'layerobject' | In regular: 0 | In spam: 1
'switzerland', 'lausanne' | In regular: 2 | In spam: 0
'some', 'effect' | In regular: 0 | In spam: 1
'becker', 'jian' | In regular: 1 | In spam: 0
'liberation', 'privacy' | In regular: 0 | In spam: 1
'am', 'thursdayfontdiv' | In regular: 1 | In spam: 0
'your', 'date' | In regular: 0 | In spam: 1
'virtual', 'community' | In regular: 2 | In spam: 0
'image', 'decoration' | In regular: 0 | In spam: 1
'terms', 'newslibrary' | In regular: 0 | In spam: 1
'allow', 'for' | In regular: 1 | In spam: 0
'from', 'elem' | In regular: 0 | In spam: 1
'specially', 'designed' | In regular: 2 | In spam: 0
'audio', 'practices' | In regular: 0 | In spam: 1
'aligndcenterspan', 'classdpwomen' | In regular: 0 | In spam: 2
'across', 'paper' | In regular: 1 | In spam: 0
'physiopathologie', 'systhme' | In regular: 1 | In spam: 0
'color', 'news' | In regular: 0 | In spam: 1
'system', 'research' | In regular: 1 | In spam: 0
'care', 'cookie' | In regular: 0 | In spam: 1
'comes', 'mind' | In regular: 0 | In spam: 1
'mandino', 'presents' | In regular: 0 | In spam: 1
'from', 'crecheyahoocom' | In regular: 0 | In spam: 1
'groningen', 'university' | In regular: 1 | In spam: 0
'bulacuand', 'query' | In regular: 1 | In spam: 0
'visual', 'development' | In regular: 1 | In spam: 0
'sounds', 'letters' | In regular: 0 | In spam: 1
'function', 'seems' | In regular: 0 | In spam: 1
'olga', 'sourina' | In regular: 1 | In spam: 0
'hits', 'required' | In regular: 1 | In spam: 0
'processing', 'icip' | In regular: 1 | In spam: 0
'anicamoyhotmailcom', 'smileallyhotmailcom' | In regular: 0 | In spam: 1
'entertained', 'horoscopes' | In regular: 0 | In spam: 1
'value', 'bold' | In regular: 0 | In spam: 1
'sells', 'black' | In regular: 0 | In spam: 1
'abide', 'funders' | In regular: 0 | In spam: 1
'register', 'your' | In regular: 1 | In spam: 1
'wordt', 'tijdens' | In regular: 1 | In spam: 0
'fountain', 'youth' | In regular: 0 | In spam: 1
'noted', 'that' | In regular: 1 | In spam: 0
'troops', 'coast' | In regular: 0 | In spam: 1
'send', 'path' | In regular: 0 | In spam: 1
'httpwwwairugnlniels', 'email' | In regular: 1 | In spam: 0
'yellow', 'document' | In regular: 0 | In spam: 1
'entertainment', 'services' | In regular: 0 | In spam: 1
'unambiguous', 'midwestern' | In regular: 0 | In spam: 1
'theories', 'collective' | In regular: 0 | In spam: 1
'toward', 'this' | In regular: 0 | In spam: 1
'faso', 'largest' | In regular: 0 | In spam: 1
'rocker', 'displayed' | In regular: 0 | In spam: 1
'captured', 'spot' | In regular: 1 | In spam: 0
'service', 'schedules' | In regular: 0 | In spam: 1
'movie', 'show' | In regular: 0 | In spam: 1
'richard', 'window' | In regular: 0 | In spam: 1
'stem', 'hes' | In regular: 1 | In spam: 0
'beach', 'flabusiness' | In regular: 0 | In spam: 1
'elem', 'partners' | In regular: 0 | In spam: 1
'institute', 'basic' | In regular: 2 | In spam: 0
'ones', 'because' | In regular: 0 | In spam: 1
'ship', 'country' | In regular: 0 | In spam: 1
'here', 'asters' | In regular: 0 | In spam: 1
'function', 'make' | In regular: 0 | In spam: 1
'years', 'ago' | In regular: 0 | In spam: 2
'simona', 'grigorescubr' | In regular: 1 | In spam: 0
'could', 'this' | In regular: 0 | In spam: 1
'style', 'dispatch' | In regular: 0 | In spam: 1
'site', 'coast' | In regular: 0 | In spam: 2
'meet', 'online' | In regular: 0 | In spam: 1
'dave', 'else' | In regular: 0 | In spam: 1
'document', 'browsers' | In regular: 0 | In spam: 1
'century', 'time' | In regular: 0 | In spam: 1
'cabinets', 'makes' | In regular: 0 | In spam: 1
'gozal', 'barry' | In regular: 1 | In spam: 0
'many', 'document' | In regular: 0 | In spam: 1
'show', 'verdana' | In regular: 0 | In spam: 1
'then', 'extravaganza' | In regular: 0 | In spam: 1
'else', 'toolbar' | In regular: 0 | In spam: 2
'write', 'broward' | In regular: 0 | In spam: 1
'service', 'responses' | In regular: 1 | In spam: 0
'prep', 'ncaa' | In regular: 0 | In spam: 1
'thorton', 'mbulandahotmailcom' | In regular: 0 | In spam: 1
'happy', 'occasion' | In regular: 2 | In spam: 0
'inc', 'november' | In regular: 0 | In spam: 1
'trophy', 'falls' | In regular: 0 | In spam: 1
'media', 'vertical' | In regular: 0 | In spam: 1
'applications', 'authentication' | In regular: 1 | In spam: 0
'again', 'strong' | In regular: 0 | In spam: 1
'supporters', 'rebel' | In regular: 0 | In spam: 1
'elem', 'larry' | In regular: 0 | In spam: 1
'options', 'layerobject' | In regular: 0 | In spam: 1
'please', 'contact' | In regular: 28 | In spam: 13
'does', 'hippocampus' | In regular: 2 | In spam: 0
'make', 'qualified' | In regular: 0 | In spam: 1
'lookalike', 'what' | In regular: 0 | In spam: 1
'october', 'printable' | In regular: 0 | In spam: 1
'', 'losepounds' | In regular: 0 | In spam: 1
'make', 'null' | In regular: 0 | In spam: 1
'county', 'style' | In regular: 0 | In spam: 1
'house', 'mice' | In regular: 1 | In spam: 0
'house', 'like' | In regular: 0 | In spam: 1
'warrantiesbest', 'coverage' | In regular: 0 | In spam: 4
'shlosberg', 'saundra' | In regular: 1 | In spam: 0
'tuberculosis', 'highly' | In regular: 0 | In spam: 1
'konstanze', 'fabel' | In regular: 1 | In spam: 0
'sans', 'somewhere' | In regular: 0 | In spam: 1
'message', 'your' | In regular: 1 | In spam: 0
'events', 'performance' | In regular: 0 | In spam: 1
'klebs', 'markus' | In regular: 1 | In spam: 0
'launched', 'world' | In regular: 0 | In spam: 1
'fens', 'member' | In regular: 3 | In spam: 0
'palm', 'extention' | In regular: 0 | In spam: 1
'mbulacuhotmailcom', 'anibal' | In regular: 0 | In spam: 1
'commodities', 'broadway' | In regular: 0 | In spam: 1
'the', 'uh' | In regular: 0 | In spam: 1
'meetings', 'specialist' | In regular: 1 | In spam: 0
'muscle', 'show' | In regular: 1 | In spam: 0
'prove', 'obliged' | In regular: 0 | In spam: 1
'garydwilkinsonhotmailcom', 'oooohotmailcom' | In regular: 0 | In spam: 1
'after', 'late' | In regular: 0 | In spam: 1
'more', 'caplan' | In regular: 0 | In spam: 1
'falluja', 'myname' | In regular: 0 | In spam: 1
'layers', 'lost' | In regular: 0 | In spam: 1
'clients', 'amon' | In regular: 0 | In spam: 1
'costs', 'between' | In regular: 0 | In spam: 1
'shape', 'world' | In regular: 1 | In spam: 0
'function', 'fall' | In regular: 0 | In spam: 1
'responses', 'survey' | In regular: 1 | In spam: 0
'u', 'inserm' | In regular: 1 | In spam: 0
'carl', 'false' | In regular: 0 | In spam: 1
'ballot', 'deadline' | In regular: 1 | In spam: 0
'asia', 'links' | In regular: 0 | In spam: 1
'alphabet', 'seems' | In regular: 1 | In spam: 0
'very', 'tasteful' | In regular: 1 | In spam: 0
'facedarial', 'sizedwashed' | In regular: 1 | In spam: 0
'altdrawing', 'rev' | In regular: 1 | In spam: 0
'november', 'lost' | In regular: 0 | In spam: 1
'which', 'false' | In regular: 0 | In spam: 1
'rrxppovfwb', 'qhzicui' | In regular: 0 | In spam: 1
'club', 'resilient' | In regular: 0 | In spam: 1
'manipulative', 'return' | In regular: 0 | In spam: 1
'send', 'onresize' | In regular: 0 | In spam: 1
'classds', 'aligndcentertda' | In regular: 0 | In spam: 2
'labor', 'countries' | In regular: 0 | In spam: 1
'robin', 'hayman' | In regular: 1 | In spam: 0
'morph', 'himself' | In regular: 0 | In spam: 1
'hold', 'files' | In regular: 0 | In spam: 1
'gust', 'british' | In regular: 0 | In spam: 1
'florida', 'this' | In regular: 0 | In spam: 2
'webcams', 'document' | In regular: 0 | In spam: 1
'initheight', 'this' | In regular: 0 | In spam: 1
'which', 'ridder' | In regular: 0 | In spam: 1
'walmart', 'mcdonalds' | In regular: 0 | In spam: 1
'general', 'replace' | In regular: 0 | In spam: 1
'fwd', 'cognition' | In regular: 1 | In spam: 0
'uppsala', 'university' | In regular: 1 | In spam: 0
'blast', 'from' | In regular: 0 | In spam: 1
'biomedical', 'sciences' | In regular: 3 | In spam: 0
'fffcc', 'said' | In regular: 0 | In spam: 1
'launched', 'zedongfontdiv' | In regular: 1 | In spam: 0
'privacy', 'this' | In regular: 0 | In spam: 1
'able', 'entertainment' | In regular: 0 | In spam: 1
'searchselectvalue', 'imgname' | In regular: 0 | In spam: 1
'programs', 'and' | In regular: 1 | In spam: 0
'three', 'family' | In regular: 0 | In spam: 1
'rita', 'levi' | In regular: 1 | In spam: 0
'great', 'over' | In regular: 0 | In spam: 1
'theory', 'associated' | In regular: 1 | In spam: 0
'department', 'physiology' | In regular: 2 | In spam: 0
'mailed', 'voting' | In regular: 1 | In spam: 0
'only', 'that' | In regular: 0 | In spam: 1
'mbulandhotmailcom', 'august' | In regular: 0 | In spam: 1
'informer', 'posing' | In regular: 0 | In spam: 1
'pioneers', 'come' | In regular: 1 | In spam: 0
'search', 'times' | In regular: 0 | In spam: 1
'peak', 'worlds' | In regular: 2 | In spam: 0
'films', 'feature' | In regular: 0 | In spam: 1
'process', 'found' | In regular: 0 | In spam: 1
'dade', 'eval' | In regular: 0 | In spam: 1
'this', 'initwidth' | In regular: 0 | In spam: 1
'simmons', 'calvin' | In regular: 1 | In spam: 0
'shells', 'gaffed' | In regular: 0 | In spam: 1
'what', 'they' | In regular: 1 | In spam: 1
'china', 'first' | In regular: 2 | In spam: 0
'ratings', 'early' | In regular: 0 | In spam: 1
'background', 'nsnavbtn' | In regular: 0 | In spam: 2
'layerobject', 'options' | In regular: 0 | In spam: 1
'colloquia', 'title' | In regular: 1 | In spam: 0
'funds', 'from' | In regular: 0 | In spam: 1
'worry', 'about' | In regular: 2 | In spam: 2
'using', 'cos' | In regular: 4 | In spam: 0
'incorporated', 'pink' | In regular: 0 | In spam: 1
'that', 'very' | In regular: 3 | In spam: 0
'assumption', 'imagine' | In regular: 0 | In spam: 1
'only', 'electronic' | In regular: 1 | In spam: 0
'only', 'thing' | In regular: 1 | In spam: 0
'escape', 'opera' | In regular: 0 | In spam: 1
'that', 'retained' | In regular: 0 | In spam: 1
'your', 'opinion' | In regular: 1 | In spam: 0
'solid', 'this' | In regular: 0 | In spam: 1
'us', 'members' | In regular: 1 | In spam: 0
'window', 'krddartord' | In regular: 0 | In spam: 1
'these', 'send' | In regular: 0 | In spam: 1
'calls', 'daniel' | In regular: 0 | In spam: 1
'your', 'results' | In regular: 1 | In spam: 0
'use', 'completely' | In regular: 0 | In spam: 2
'play', 'query' | In regular: 0 | In spam: 1
'serif', 'obtain' | In regular: 0 | In spam: 1
'brain', 'activity' | In regular: 1 | In spam: 1
'esmtp', 'hakooj' | In regular: 1 | In spam: 0
'photos', 'photos' | In regular: 0 | In spam: 1
'sizedjapan', 'added' | In regular: 1 | In spam: 0
'therefore', 'this' | In regular: 1 | In spam: 0
'showsyntax', 'prototype' | In regular: 0 | In spam: 1
'channel', 'window' | In regular: 0 | In spam: 1
'some', 'less' | In regular: 0 | In spam: 1
'epileptiform', 'activities' | In regular: 1 | In spam: 0
'love', 'gees' | In regular: 0 | In spam: 1
'productive', 'style' | In regular: 0 | In spam: 1
'linear', 'nonlinear' | In regular: 1 | In spam: 0
'social', 'program' | In regular: 1 | In spam: 0
'from', 'lped' | In regular: 0 | In spam: 1
'ever', 'wanted' | In regular: 0 | In spam: 1
'biological', 'sciences' | In regular: 2 | In spam: 0
'youve', 'spent' | In regular: 0 | In spam: 1
'french', 'your' | In regular: 0 | In spam: 1
'although', 'processor' | In regular: 1 | In spam: 0
'weight', 'location' | In regular: 0 | In spam: 1
'family', 'heart' | In regular: 0 | In spam: 1
'', 'met' | In regular: 11 | In spam: 3
'reenanitahotmailcom', 'hedvighotmailcom' | In regular: 0 | In spam: 1
'list', 'settings' | In regular: 0 | In spam: 5
'from', 'marius' | In regular: 1 | In spam: 0
'layerobject', 'layers' | In regular: 0 | In spam: 1
'honored', 'applications' | In regular: 1 | In spam: 0
'srcelement', 'main' | In regular: 0 | In spam: 1
'images', 'offsettop' | In regular: 0 | In spam: 1
'which', 'estimated' | In regular: 1 | In spam: 0
'procedures', 'find' | In regular: 0 | In spam: 1
'smtp', 'hbgzioj' | In regular: 1 | In spam: 0
'onloadscript', 'ones' | In regular: 0 | In spam: 1
'limbaugh', 'sports' | In regular: 0 | In spam: 1
'auditory', 'brainstem' | In regular: 1 | In spam: 0
'said', 'would' | In regular: 0 | In spam: 1
'datemode', 'request' | In regular: 0 | In spam: 1
'exceptional', 'writer' | In regular: 0 | In spam: 1
'subsidiary', 'military' | In regular: 0 | In spam: 1
'exercsebrfont', 'colorffffffrandomizefontfontbbr' | In regular: 0 | In spam: 1
'showdown', 'went' | In regular: 0 | In spam: 1
'right', 'very' | In regular: 0 | In spam: 1
'greater', 'channel' | In regular: 0 | In spam: 1
'launch', 'beenfontdiv' | In regular: 1 | In spam: 0
'totp', 'please' | In regular: 0 | In spam: 1
'wage', 'americas' | In regular: 0 | In spam: 1
'toshiaki', 'wasaka' | In regular: 1 | In spam: 0
'mibulacuphysrugnl', '' | In regular: 3 | In spam: 0
'makes', 'pos' | In regular: 0 | In spam: 1
'spam', 'mbulacu' | In regular: 0 | In spam: 1
'over', 'prefix' | In regular: 0 | In spam: 1
'tcwppswrugnl', 'hnbiqr' | In regular: 1 | In spam: 0
'groatspppandrewcmuedu', '' | In regular: 1 | In spam: 0
'black', 'beginning' | In regular: 0 | In spam: 1
'dont', 'worry' | In regular: 2 | In spam: 1
'popup', 'this' | In regular: 0 | In spam: 2
'agnes', 'gruart' | In regular: 1 | In spam: 0
'xaimailscannerspamscore', 'sssssssssssss' | In regular: 0 | In spam: 2
'valentina', 'ferretti' | In regular: 1 | In spam: 0
'used', 'forms' | In regular: 0 | In spam: 1
'its', 'those' | In regular: 0 | In spam: 1
'luibabyhotmailcom', 'kulturkonsulentenhotmailcom' | In regular: 0 | In spam: 1
'therese', 'mullenix' | In regular: 0 | In spam: 1
'where', 'snows' | In regular: 0 | In spam: 1
'easily', 'killed' | In regular: 0 | In spam: 1
'pictures', 'photos' | In regular: 0 | In spam: 1
'math', 'sports' | In regular: 0 | In spam: 1
'thank', 'you' | In regular: 0 | In spam: 1
'send', 'your' | In regular: 1 | In spam: 0
'animated', 'feature' | In regular: 0 | In spam: 1
'society', 'premier' | In regular: 1 | In spam: 0
'painkillers', 'height' | In regular: 0 | In spam: 1
'good', 'sight' | In regular: 0 | In spam: 1
'font', 'color' | In regular: 0 | In spam: 2
'stored', 'away' | In regular: 0 | In spam: 1
'', 'horizontal' | In regular: 0 | In spam: 1
'outlookfwmsg', '' | In regular: 1 | In spam: 0
'system', 'also' | In regular: 0 | In spam: 1
'eunstevehotmailcom', 'philliplockhotmailcom' | In regular: 0 | In spam: 1
'mozilla', 'windows' | In regular: 1 | In spam: 0
'fingers', 'going' | In regular: 0 | In spam: 1
'trkc', 'neurotrophin' | In regular: 1 | In spam: 0
'ivory', 'signed' | In regular: 0 | In spam: 1
'searchex', 'main' | In regular: 0 | In spam: 1
'birds', 'perching' | In regular: 0 | In spam: 2
'this', 'reasons' | In regular: 0 | In spam: 1
'molekulare', 'medizin' | In regular: 2 | In spam: 0
'sname', 'else' | In regular: 0 | In spam: 1
'ago', 'also' | In regular: 0 | In spam: 1
'else', 'publishername' | In regular: 0 | In spam: 1
'', 'useragent' | In regular: 5 | In spam: 0
'near', 'you' | In regular: 1 | In spam: 0
'rcvdindsbl', '' | In regular: 0 | In spam: 7
'merchandising', 'rights' | In regular: 0 | In spam: 1
